id	name	class	stars	eddie	awakenable	talismans	basic	power	passive	fury
2019-tour-eddie-warrior	2019 Tour Eddie	Warrior	3	true	false	WWW	"• Lowers DEF of enemy for 2 turns.
• Ignites enemy for 2 turns.
• 65% Chance for an Extra Turn.
• Ignite increases physical damage taken.
• Deals physical damage to a single target.
• Heals yourself if the target is Stunned.
• Deals physical damage to all enemies.
• 30% Chance to gain Invincibility for 1 turn."	"• Inflicts 3 Toxic Burns on all enemies for 2 turns.
• Heal all allies based on your MAX HP.
• Grants Increased Fury Generation to allies for 2 turns.
• Deals physical damage to a single target.
• 35% Chance to Stun targets for 1 turn.
• Gain Extra Turn on Stun.
• Deals physical damage to all enemies.
• Heals all allies.
• 25% Chance to gain an Extra Turn.
• Heal amount is based on your ATK stat."	"50% Chance to Remove Immunity and Stun a random enemy every turn
Gain Echo status for 2 turns if any enemy’s HP is below 50% at the start of your turn
Transform Bleed and Heal Block effects into Perfect Bleed and Perfect Heal Block after each action."	""
aces-bomber-eddie-gunner	Ace's Bomber Eddie	Gunner	5	true	false	GGG	"• Deals physical damage to a single target.
• Removes One Beneficial Effect.
• Inflicts Permadeath on targets with Immortality, Endure, or Ghost effects.
• Deals physical damage to a single target.
• 25% Chance to Critically Strike.
• Remove Invincibility and Physical, Magic, and True Damage Invulnerability effects before dealing damage.
• Deal Additional True Damage for each beneficial effect on the target.
• Deals physical damage to all enemies.
• 65% Chance to remove Perfect Immunity from all enemies.
• Inflict Curse, DEF Down, and Exhaust on the target for 1 turn.
• 20% Chance to grant an Extra Turn to each ally."	"• Gain Perfect Immunity for 2 turns.
• Gain Damage Reduction Shield for 2 turns.
• 35% Chance to gain an Extra Turn.
• Deals 3 hits of physical damage to random targets.
• 20% Chance to gain an Extra Turn.
• Gain Critical Strike if a target is killed.
• Damage dealt increases based on your ATK and SPECIAL stats.
• Heal all allies based on their SPECIAL stat.
• Permanently increase the SPECIAL and ATK stat of all allies by 5%. Instantly gain an Extra Turn."	"Gain Perfect Immunity for the duration of battle
Reduce Damage Taken by 60%, but deal random damage to each ally equal to 5% of their MAX HP when hit
35% Chance to gain an Extra Turn after each action
Remove Immunity and Perfect Immunity and inflict 3 Marks for 2 turns on any target with the Labyrinth or Viper Talisman set equipped every turn."	""
aces-high-eddie-gunner	Aces High Eddie	Gunner	5	true	false	GGG	"• Deals physical damage to a single target.
• Removes One Beneficial Effect.
• Inflicts Permadeath on targets with Immortality, Endure, or Ghost effects.
• Deals physical damage to a single target.
• 25% Chance to Critically Strike.
• Remove Invincibility and Physical, Magic, and True Damage Invulnerability effects before dealing damage.
• Deal Additional True Damage for each beneficial effect on the target.
• Deals physical damage to all enemies.
• 65% Chance to remove Perfect Immunity from all enemies.
• Inflict Curse, DEF Down, and Exhaust on the target for 1 turn.
• 20% Chance to grant an Extra Turn to each ally."	"• Gain Perfect Immunity for 2 turns.
• Gain Damage Reduction Shield for 2 turns.
• 35% Chance to gain an Extra Turn.
• Deals 3 hits of physical damage to random targets.
• 20% Chance to gain an Extra Turn.
• Gain Critical Strike if a target is killed.
• Damage dealt increases based on your ATK and SPECIAL stats.
• Heal all allies based on their SPECIAL stat.
• Permanently increase the SPECIAL and ATK stat of all allies by 5%. Instantly gain an Extra Turn."	""	"• Deals 5 hits of physical damage to all enemies.
• 50% Chance to Critically Strike.
• Grants Guard Shield to all allies for 2 turns.
• Guard Shield reduces damage taken and increases Fury for every hit."
alexander-eddie-warrior	Alexander Eddie	Warrior	5	true	false	WWW	"• Deals physical damage to all enemies.
• Grants Armor Penetration to all allies for 2 turns.
• 35% Chance to Ignite, Bleed, and Block Beneficial Effects on the enemy for 2 turns.
• Damage dealt increases based on the enemy’s and your MAX HP.
• Deals physical damage to a single target.
• Steal One Beneficial effect, including Golden Effects, for each negative effect on the target.
• Damage dealt increases based on the enemy’s and your MAX HP
• Deals physical damage to a single target.
• Removes Immunity and Invincibility effects, including Golden Effects.
• Grant Perfect Immunity to all allies for 2 turns if an effect is removed.
• Damage dealt increases based on the enemy’s and your MAX HP."	"• Deals physical damage to a single target.
• Lowers ATK and MAGIC of the target for the duration of the battle.
• Gain Increased ATK and MAX HP for the duration of the battle.
• Damage dealt increases based on the enemy’s and your MAX HP.
• Grants a Thorn Shield for 2 turns.
• Grants a Heal Shield for 2 turns.
• 70% Chance to Taunt all enemies for 2 turns.
• Instantly gain an Extra Turn.
• Deals 30% of your MAX HP as physical damage to a single target.
• Heal all allies based on your MAX HP."	"Immune to all negative effects, including Max HP reduction
This skill can only be countered by Passive Disable applied at the start of battle."	""
alliance-general-sentinel	Alliance General	Sentinel	5	false	false	SSS	"• Deals physical damage to a single target.
• Steal up to 2 Beneficial Effects.
• 50% Chance to Steal Power and Fury.
• Damage scales based on your MAX HP."	"• Gives Critical Strike chance to all allies.
• Grants Perfect Hit to all allies.
• Grants Lifesteal to all allies."	"Grant Increased DEF and Golden Hit to all allies for 3 turns at the start of battle
Grant a Physical, Magic, or True Block to each ally if Regen is present at the start of your turn
Curse all enemies that lack beneficial effects for 2 turns after each action."	""
allied-bomber-boy-gunner	Allied Bomber Boy	Gunner	3	false	false	MMM	"• Deals magic damage to all enemies.
• 45% Chance to inflict up to 2 Magic Burns.
• Damage increases based on your MAX HP and DEF"	"• Deals magic damage to all enemies.
• Damage dealt increases based on your DEF.
• 50% Chance to Lower ATK.
• Inflicts Additional True Damage for every damage over time effect on the target."	"Explodes upon death, dealing true damage to all enemies based on the [32CD32]MAX HP[-] of you and the enemy."	""
allied-bomber-boy-magus	Allied Bomber Boy	Magus	4	false	false	MGM	"• Deals magic damage to all enemies.
• Inflict Stop and Bloodlust on each enemy for 2 turns.
• 35% Chance to inflict Perfect Silence for 1 turn."	"• Remove Negative Effects from each ally.
• Grant a Damage Reflect Shield to each ally for 2 turns.
• Grant a Random Healing Effect to each ally for 3 turns.
• 35% Chance to gain an Extra Turn."	"Immune to Stun, Blind, and Stop
Gain Invincibility for 2 turns at the start of battle."	""
allied-bomber-boy-sentinel	Allied Bomber Boy	Sentinel	4	false	false	SSS	"• Deals magic damage to all enemies.
• 45% Chance to inflict up to 2 Magic Burns.
• Damage increases based on your MAX HP and DEF"	"• Heals all allies for 25% of CURRENT HP.
• 45% Chance for each ally to gain Accuracy Up for 2 turns.
• Accuracy Up increases the chance of skill effects triggering by 25%."	"Raise DEF and MR of all allies for 2 turns at the start of battle
Grant Immunity to Doom, Crave, and Perfect Crave to all allies."	""
allied-soldier-magus	Allied Soldier	Magus	3	false	false	MSM	"• Deals magic damage to all enemies.
• 20% Chance to Increase ATK and MAGIC of allies.
• Damage dealt is based on your MAX HP."	"• Creates a Reflect Shield for 2 turns.
• Reflect Shield reduces damage by 50% and reflects a percentage of damage taken back as true damage to all enemies."	""	""
allied-soldier-sentinel	Allied Soldier	Sentinel	3	false	false	SMS	"• Deals 3 hits of magic damage to a single target.
• 25% Chance to Remove Beneficial Effects on each hit."	"• Heals all allies.
• Removes Negative Effects on allies.
• Heal amount is based on your MAGIC and MAX HP."	""	""
